City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lompoc,34.6391,-120.4579,16.58,93,40,3.09,US,1721964953
84,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,59,20,5.0,RU,1721964954
85,chernyshevskiy,63.0128,112.4714,23.95,72,73,1.01,RU,1721964955
86,naze,28.3667,129.4833,25.51,85,100,8.36,JP,1721964956
87,banjar,-8.19,114.9675,31.72,53,0,0.9,ID,1721964958
88,tambopata,-12.7333,-69.1833,23.41,65,1,0.36,PE,1721964959
89,porto belo,-27.1578,-48.5531,17.83,100,4,2.26,BR,1721964960
90,enewetak,11.3474,162.3373,28.58,80,99,7.68,MH,1721964961
91,hithadhoo,-0.6,73.0833,28.93,73,65,4.61,MV,1721964962
92,riosucio,5.4216,-75.7032,13.07,96,100,0.46,CO,1721964963
93,brasilia,-15.7797,-47.9297,12.51,71,0,0.51,BR,1721964965
94,kutum,14.2,24.6667,20.62,79,100,7.98,SD,1721964966
95,tandahimba,-10.75,39.6333,14.88,95,0,1.3,TZ,1721964967
96,codrington,-38.2667,141.9667,14.72,70,73,9.92,AU,1721964968
97,cascais,38.6979,-9.4215,20.52,84,5,14.75,PT,1721964969
98,severnoye,56.3491,78.3619,18.29,72,72,2.84,RU,1721964970
99,invercargill,-46.4,168.35,13.96,68,91,3.13,NZ,1721964973
100,port moresby,-9.4431,147.1797,29.68,66,40,7.72,PG,1721964974
101,salalah,17.0151,54.0924,25.05,94,100,3.6,OM,1721964975
102,pitea,65.3172,21.4794,20.05,95,59,1.91,SE,1721964976
103,atafu village,-8.5421,-172.5159,29.05,62,56,4.57,TK,1721964977
104,vorkuta,67.5,64.0,11.65,61,100,4.9,RU,1721964979
105,olinda,-8.0089,-34.8553,25.85,73,40,3.6,BR,1721964980
106,yuzhno-kurilsk,44.0306,145.8556,16.7,74,89,2.07,RU,1721964981
107,fortaleza,-3.7227,-38.5247,26.79,69,20,5.66,BR,1721964982
108,selkirk,50.1436,-96.8845,25.08,72,78,3.58,CA,1721964984
109,port mathurin,-19.6833,63.4167,22.64,73,92,6.35,MU,1721964985
110,kalevala,65.2,31.1667,17.21,63,3,2.25,RU,1721964987
111,sur,22.5667,59.5289,34.43,44,64,4.86,OM,1721964988
112,pemba,-12.974,40.5178,21.63,65,0,1.49,MZ,1721964989
113,remire-montjoly,4.9167,-52.2667,24.02,100,100,1.54,GF,1721964991
114,kotido,2.9806,34.1331,19.56,81,78,0.85,UG,1721964992
115,sitka,57.0531,-135.33,14.94,88,100,4.12,US,1721964993
116,namtsy,62.7161,129.6658,32.73,31,76,1.74,RU,1721964994
117,iqaluit,63.7506,-68.5145,5.85,81,100,2.57,CA,1721964996
118,bamboo flat,11.7,92.7167,30.05,84,100,6.17,IN,1721964997
119,duque de caxias,-22.7856,-43.3117,17.96,88,0,1.03,BR,1721964998
120,zaragoza,41.6561,-0.8773,22.79,65,0,6.17,ES,1721964999
121,perugorria,-29.3413,-58.6106,13.62,64,100,3.54,AR,1721965000
122,rundu,-17.9333,19.7667,11.66,16,0,1.54,NA,1721965002
123,kabo,7.6994,18.629,21.16,98,89,1.74,CF,1721965003
124,svencionys,55.15,26.1667,16.1,92,97,1.24,LT,1721965004
125,geraldton,-28.7667,114.6,15.23,88,75,5.14,AU,1721965005
126,piacabucu,-10.4056,-36.4344,22.76,82,36,3.5,BR,1721965007
127,taranagar,28.6709,75.0351,35.79,49,100,4.1,IN,1721965008
128,camacupa,-12.0167,17.4833,10.34,21,0,1.9,AO,1721965009
129,patterson,37.4716,-121.1297,32.86,48,0,1.74,US,1721965010
130,tura,25.5198,90.2201,31.54,70,100,0.85,IN,1721965011
131,severobaykal'sk,55.65,109.3167,24.14,49,19,0.97,RU,1721965013
132,zhangatas,43.5667,69.75,32.69,24,95,4.7,KZ,1721965014
133,kumeny,58.1089,49.9161,13.29,67,76,4.18,RU,1721965015
134,island harbour,50.724,-1.2758,14.99,69,88,0.89,GB,1721965016
135,takoradi,4.8845,-1.7554,22.94,91,60,3.43,GH,1721965018
136,levuka,50.1834,-105.4011,22.9,40,99,7.13,CA,1721965019
137,whitehorse,60.7161,-135.0538,14.43,91,100,4.63,CA,1721965020
138,nueva esperanza,15.2667,-87.6,26.79,100,100,1.3,HN,1721965021
139,carnarvon,-24.8667,113.6333,19.79,44,6,3.45,AU,1721965023
140,sao jose da coroa grande,-8.8978,-35.1478,23.28,84,22,4.95,BR,1721965024
141,bonthe,7.5264,-12.505,24.37,85,100,4.72,SL,1721965025
142,port lincoln,-34.7333,135.8667,15.25,66,7,11.19,AU,1721965026
143,waveland,30.2869,-89.3762,26.02,91,100,4.09,US,1721965027
144,hincesti,46.8258,28.5936,19.76,95,100,4.6,MD,1721965029
145,tamanrasset,22.785,5.5228,23.95,53,0,1.03,DZ,1721965030
146,saint-pierre,-21.3393,55.4781,19.82,49,0,4.63,RE,1721965031
147,ust-nera,64.5667,143.2,18.41,38,100,2.11,RU,1721965032
148,roses,42.262,3.1769,25.32,68,0,0.89,ES,1721965034
149,sept-iles,50.2001,-66.3821,16.29,96,75,2.06,CA,1721965036
150,salym,60.0625,71.4789,15.32,80,75,2.21,RU,1721965037
151,altai,46.3722,96.2583,23.76,21,66,4.6,MN,1721965040
152,akseki,37.0486,31.79,18.88,70,0,1.95,TR,1721965041
153,kleinblittersdorf,49.1578,7.0373,18.71,72,0,1.03,DE,1721965042
154,minas de marcona,-15.2119,-75.1103,10.55,89,91,4.92,PE,1721965044
155,alotau,-10.3069,150.4462,24.91,88,100,2.83,PG,1721965045
156,kpandu,6.9954,0.2931,22.34,90,62,2.92,GH,1721965046
157,nadym,65.5333,72.5167,12.24,75,100,4.39,RU,1721965047
158,chifeng,42.2683,118.9636,27.2,62,100,1.77,CN,1721965048
159,dalbandin,28.8947,64.4101,36.14,11,65,2.63,PK,1721965050
160,keflavik,64.0049,-22.5624,10.95,100,100,6.17,IS,1721965051
161,buulobarde,3.8538,45.5674,23.66,78,100,7.81,SO,1721965052
162,ta`u,-14.2336,-169.5144,27.39,83,96,6.19,AS,1721965053
163,lebu,-37.6167,-73.65,7.34,82,7,6.11,CL,1721965054
164,kintampo,8.0563,-1.7306,21.43,91,100,2.77,GH,1721965055
165,juan griego,11.0817,-63.9655,32.07,66,100,4.12,VE,1721965057
166,yichang,30.7144,111.2847,37.73,40,18,4.73,CN,1721965058
167,alofi,-19.0595,-169.9187,23.94,100,20,2.06,NU,1721965059
168,praia da vitoria,38.7333,-27.0667,25.14,83,75,3.33,PT,1721965061
169,san antonio de pale,-1.4014,5.6325,22.9,82,52,4.55,GQ,1721965062
170,gadzhiyevo,69.2551,33.3362,18.68,72,6,1.9,RU,1721965064
171,alaghsas,17.0187,8.0168,30.33,50,64,7.22,NE,1721965065
172,anadyr,64.75,177.4833,12.28,93,75,4.0,RU,1721965066
173,tougan,13.0667,-3.0667,25.98,81,98,4.28,BF,1721965068
